"","win_1970","win_1971","win_1972","win_1973","win_1974","win_1975","win_1976","win_1977","win_1978","win_1979","win_1980","win_1981","win_1982","win_1983","win_1984","win_1985","win_1986","win_1987","win_1988","win_1989","win_1990","win_1991","win_1992","win_1993","win_1994","win_1995","win_1996","win_1997","win_1998","win_1999","win_2000","win_2001","win_2002","win_2003","win_2004","win_2005","win_2006","win_2007","win_2008","win_2009","win_2010","win_2011","win_2012","win_2013","win_2014","win_2015","win_2016","win_2017","win_2018","win_2019","win_2020","species"
"Picea abies",NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,2,6,8,18,22,21,17,16,"Picea abies"
"Rhamnus cathartica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,62,66,"Rhamnus cathartica"
"Artemisia vulgaris",6,8,10,10,11,10,11,9,11,21,33,31,28,28,18,5,4,5,3,3,3,6,7,6,6,8,6,5,5,5,3,3,5,7,8,7,6,8,5,5,8,11,9,17,22,46,78,93,107,121,105,"Artemisia vulgaris"
"Muscari botryoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,7,8,8,"Muscari botryoides"
"Sedum hispanicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,1,NA,NA,3,5,5,"Sedum hispanicum"
"Spiraea japonica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,14,22,26,22,"Spiraea japonica"
"Pachysandra terminalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,4,7,11,13,15,14,"Pachysandra terminalis"
"Matricaria discoidea",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,2,2,2,1,2,1,1,2,2,1,1,2,2,2,5,7,7,7,8,7,5,7,11,38,55,83,115,141,126,"Matricaria discoidea"
"Hylotelephium telephium",4,6,5,4,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,2,2,1,1,1,NA,2,3,3,3,5,7,11,24,43,52,65,64,"Hylotelephium telephium"
"Cerastium fontanum",1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,1,2,8,10,12,16,15,"Cerastium fontanum"
"Trifolium aureum",2,2,2,2,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,2,2,1,1,2,1,1,1,3,2,3,4,4,2,3,3,3,4,4,3,3,6,11,28,59,85,122,159,147,"Trifolium aureum"
"Dianthus deltoides",NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,1,1,2,3,3,2,2,1,NA,NA,NA,2,3,5,7,12,19,36,36,34,31,"Dianthus deltoides"
"Phlox paniculata",2,2,2,2,2,1,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,23,40,52,60,59,"Phlox paniculata"
"Malva alcea",1,1,NA,NA,NA,NA,1,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,6,8,9,9,8,"Malva alcea"
"Harmonia axyridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,144,"Harmonia axyridis"
"Thymelicus lineola",1,2,3,3,3,2,1,NA,NA,NA,NA,NA,1,2,2,2,2,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,4,6,5,5,4,9,8,10,12,14,12,16,32,55,84,105,108,92,"Thymelicus lineola"
"Robinia pseudoacacia",2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,NA,NA,1,2,2,2,2,1,NA,NA,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,3,3,4,7,10,14,30,43,53,57,59,"Robinia pseudoacacia"
"Daucus carota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,101,143,144,"Daucus carota"
"Rumex acetosella",21,30,30,27,27,31,31,30,31,34,39,38,35,34,27,14,8,9,5,6,11,11,11,13,12,9,12,9,6,7,8,9,14,16,17,16,12,9,7,5,4,4,2,3,5,13,17,21,30,38,33,"Rumex acetosella"
"Campanula persicifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,3,7,9,10,18,16,"Campanula persicifolia"
"Euonymus alatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,3,3,3,3,5,10,16,21,27,26,"Euonymus alatus"
"Brassica nigrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,5,5,3,"Brassica nigrum"
"Coccinella septempunctata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,137,138,"Coccinella septempunctata"
"Verbascum thapsus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,124,180,187,"Verbascum thapsus"
"Aquilegia vulgaris",7,8,8,7,5,4,3,4,4,5,4,3,1,1,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,1,1,2,3,9,12,22,33,39,44,41,"Aquilegia vulgaris"
"Sedum sexangulare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,4,9,17,28,33,34,"Sedum sexangulare"
"Dactylis glomerata",6,10,8,7,6,6,4,5,8,16,22,20,19,14,7,NA,NA,NA,3,3,3,4,4,1,1,1,NA,NA,NA,NA,NA,1,3,4,6,6,5,5,5,3,4,7,6,9,10,13,23,38,49,67,67,"Dactylis glomerata"
"Veronica officinalis",3,3,2,2,3,5,9,9,9,9,8,4,4,4,2,1,NA,NA,NA,NA,3,3,4,4,6,6,7,6,6,4,4,2,2,2,3,2,2,6,6,8,7,11,10,11,14,27,44,61,94,123,119,"Veronica officinalis"
"Petasites japonicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,1,1,NA,2,6,24,35,44,55,57,"Petasites japonicus"
"Adelges abietis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,3,2,4,4,3,4,"Adelges abietis"
"Salix fragilis",8,9,11,11,9,6,6,6,5,4,4,5,3,3,2,3,2,2,2,2,1,2,3,6,7,7,6,6,7,6,8,7,8,7,6,4,4,2,1,NA,NA,1,2,3,4,4,3,6,6,10,10,"Salix fragilis"
"Juncus compressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,2,2,1,2,2,3,4,5,4,6,6,6,7,7,"Juncus compressus"
"Alopecurus pratensis",NA,1,3,3,4,4,4,3,3,5,5,5,4,4,NA,1,1,1,4,4,4,4,4,1,1,NA,1,1,1,1,1,1,1,3,4,6,6,6,5,5,4,3,3,2,1,1,1,2,5,8,7,"Alopecurus pratensis"
"Anthoxanthum odoratum",1,1,1,1,2,2,4,12,11,12,15,13,6,6,4,2,1,1,1,NA,NA,NA,NA,1,3,3,4,4,4,1,1,NA,NA,NA,1,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,1,2,9,9,"Anthoxanthum odoratum"
"Valeriana officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,47,84,115,132,131,"Valeriana officinalis"
"Malva moschata",7,8,6,4,5,6,9,9,10,11,10,6,5,4,1,NA,NA,NA,NA,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,3,6,7,7,8,11,8,8,13,22,32,56,71,80,73,"Malva moschata"
"Fagopyrum tataricum",4,4,2,1,3,2,2,3,4,3,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fagopyrum tataricum"
"Cichorium intybus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,168,168,"Cichorium intybus"
"Sturnus vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,74,"Sturnus vulgaris"
"Syringa vulgaris",1,1,2,2,3,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3,3,3,4,4,2,3,11,21,31,38,46,40,"Syringa vulgaris"
"Epilobium hirsutum",3,4,5,4,4,4,3,4,5,7,9,9,6,5,3,NA,NA,NA,NA,1,1,1,1,2,2,3,3,3,2,1,NA,NA,1,1,2,2,3,3,3,6,6,7,6,9,9,12,14,25,27,33,31,"Epilobium hirsutum"
"Anthriscus sylvestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,2,2,2,4,3,2,2,2,1,1,1,1,4,4,6,7,10,8,10,14,28,44,63,73,91,87,"Anthriscus sylvestris"
"Fraxinus excelsior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,"Fraxinus excelsior"
"Pastinaca sativa",4,6,7,6,8,6,7,9,10,16,22,20,17,16,10,1,NA,1,2,2,2,2,1,1,1,2,2,2,1,1,NA,NA,NA,2,3,3,3,4,4,6,7,7,8,12,19,45,56,85,94,112,99,"Pastinaca sativa"
"Passer domesticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,47,"Passer domesticus"
"Abutilon theophrasti",3,5,4,6,8,10,15,18,22,42,52,51,46,43,20,8,7,4,5,4,4,4,3,1,1,2,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,4,6,9,18,24,23,22,"Abutilon theophrasti"
"Glechoma hederacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,127,133,"Glechoma hederacea"
"Pholcus phalangioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,3,3,6,11,17,26,32,37,34,"Pholcus phalangioides"
"Chenopodium strictum",1,1,1,3,4,10,22,26,35,44,47,42,36,24,12,5,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,"Chenopodium strictum"
"Malva neglecta",5,5,4,3,3,2,2,3,7,13,15,15,15,11,8,3,2,1,1,1,NA,NA,NA,NA,NA,1,1,1,2,2,1,1,1,NA,NA,NA,NA,3,3,3,3,4,1,2,3,5,9,12,12,13,12,"Malva neglecta"
"Amaranthus retroflexus",9,11,10,6,8,11,10,17,30,69,94,94,90,76,47,4,3,3,2,2,1,1,1,NA,1,1,2,2,2,1,1,2,4,5,5,5,4,4,3,3,3,3,3,4,4,10,20,21,21,21,15,"Amaranthus retroflexus"
"Sinapis kaber",6,9,9,9,8,10,7,11,18,41,50,52,48,43,26,4,3,2,2,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sinapis kaber"
"Gnaphalium uliginosum",10,14,13,12,11,12,10,10,14,40,43,46,43,42,19,11,6,10,7,5,5,6,3,4,5,4,3,2,1,NA,1,1,2,3,3,2,4,7,6,7,8,6,3,5,5,7,11,16,20,21,18,"Gnaphalium uliginosum"
"Lonicera xylosteum",NA,1,1,2,2,2,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,4,4,6,7,10,15,16,15,"Lonicera xylosteum"
"Narcissus poeticus",NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,2,2,2,2,"Narcissus poeticus"
"Berberis thunbergii",NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,NA,1,2,4,4,4,4,5,9,18,27,33,35,31,"Berberis thunbergii"
"Galeopsis bifida",1,1,3,3,2,2,3,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,4,13,23,37,44,51,43,"Galeopsis bifida"
"Silene alba",1,2,2,2,3,6,7,10,20,31,37,36,35,26,14,2,1,1,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Silene alba"
"Conium maculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,8,8,"Conium maculatum"
"Miscanthus sacchariflorus",NA,1,1,1,1,1,NA,NA,2,4,5,5,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,3,4,4,3,3,1,1,1,"Miscanthus sacchariflorus"
"Armoracia rusticana",NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,2,2,2,3,5,6,6,6,6,5,5,3,"Armoracia rusticana"
"Galium odoratum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,5,7,11,13,13,"Galium odoratum"
"Butomus umbellatus",5,10,11,10,9,8,3,2,5,5,5,7,6,4,6,5,4,7,6,5,6,5,2,5,4,3,3,8,7,7,7,7,2,NA,2,5,6,6,7,8,9,9,12,12,17,23,42,58,64,70,67,"Butomus umbellatus"
"Borago officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,6,12,20,23,22,"Borago officinalis"
"Sorbus aucuparia",1,1,1,1,1,1,NA,2,2,2,2,2,1,1,1,1,1,NA,NA,NA,1,1,1,2,2,2,2,2,2,1,1,2,6,5,5,6,6,3,2,4,3,5,6,10,13,33,39,41,45,66,53,"Sorbus aucuparia"
"Armoracia lapathifolia",3,3,2,3,3,3,3,3,4,3,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Armoracia lapathifolia"
"Tanacetum vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,127,128,"Tanacetum vulgare"
"Myosotis sylvatica",5,5,5,4,2,3,4,4,4,4,3,2,2,1,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,3,6,7,9,8,9,7,7,11,23,34,56,69,92,86,"Myosotis sylvatica"
"Lonicera morrowii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,2,3,5,7,12,17,20,25,29,25,"Lonicera morrowii"
"Stellaria graminea",16,17,17,15,13,15,20,17,23,34,41,38,36,32,20,9,5,9,6,8,8,9,7,9,9,10,13,11,9,8,9,6,9,9,10,9,8,9,10,10,13,14,10,11,11,16,25,36,41,53,47,"Stellaria graminea"
"Trifolium arvense",2,3,3,3,2,4,5,7,6,7,5,4,1,2,1,1,1,3,3,4,4,4,4,3,2,3,3,1,1,1,1,1,1,1,2,2,2,6,6,6,7,8,4,7,12,28,37,57,87,100,91,"Trifolium arvense"
"Potentilla argentea",4,4,3,3,5,9,10,12,13,15,11,10,6,5,2,1,1,1,1,NA,NA,NA,1,1,4,5,5,4,4,1,NA,NA,3,5,6,6,7,7,5,4,7,6,5,10,14,21,41,62,77,82,75,"Potentilla argentea"
"Araneus diadematus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,76,114,114,"Araneus diadematus"
"Lycopus europaeus",7,8,7,8,6,5,3,3,2,3,3,4,3,2,1,2,1,1,1,2,1,9,9,11,11,12,5,5,3,4,4,3,3,3,3,5,6,7,6,5,3,2,2,4,5,7,15,19,23,32,32,"Lycopus europaeus"
"Dianthus armeria",NA,1,1,2,2,3,3,5,4,7,5,5,3,3,NA,NA,NA,1,1,1,1,3,2,2,2,2,2,2,2,2,2,1,2,4,4,4,5,6,4,7,7,8,7,11,12,18,23,37,47,52,48,"Dianthus armeria"
"Sorbaria sorbifolia",NA,1,1,1,1,1,NA,NA,NA,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,3,3,3,4,3,5,4,5,4,4,3,6,14,33,47,52,69,67,"Sorbaria sorbifolia"
"Galinsoga quadriradiata",1,2,2,2,1,1,NA,1,1,2,2,2,1,1,NA,NA,NA,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,NA,2,3,3,4,6,5,7,11,13,24,31,37,43,41,"Galinsoga quadriradiata"
"Ribes rubrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,2,3,3,2,2,2,3,11,22,27,31,33,"Ribes rubrum"
"Potamogeton crispus",NA,2,2,2,2,3,2,2,2,3,1,2,4,4,3,3,2,NA,1,1,1,1,1,1,1,3,4,4,3,3,1,NA,NA,NA,NA,1,1,2,3,3,2,2,2,1,2,2,3,4,7,8,8,"Potamogeton crispus"
"Phasianus colchicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,2,4,7,9,9,9,7,"Phasianus colchicus"
"Silene noctiflora",3,3,3,5,6,8,12,15,18,28,27,27,25,23,9,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,3,3,3,3,5,8,10,11,10,"Silene noctiflora"
"Setaria viridis",7,9,8,6,8,13,11,15,22,102,123,123,123,119,51,14,15,13,13,13,13,10,8,2,2,4,4,4,8,8,6,8,9,4,6,6,4,7,6,4,5,7,4,5,9,12,22,24,28,28,25,"Setaria viridis"
"Medicago sativa",4,5,5,4,5,4,4,6,6,8,10,9,7,5,3,NA,NA,1,1,1,1,2,1,1,3,3,2,2,2,1,1,3,3,4,6,6,6,7,7,5,5,4,4,4,8,24,35,50,69,79,69,"Medicago sativa"
"Origanum vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,5,12,24,27,29,25,"Origanum vulgare"
"Atriplex patula",1,2,5,6,7,9,10,12,17,41,50,50,48,44,22,8,5,8,7,6,6,6,1,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,4,3,1,4,5,5,5,5,3,1,1,1,NA,2,3,4,4,"Atriplex patula"
"Hylotelephium purpureum",2,2,1,NA,NA,NA,1,2,2,2,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,1,NA,NA,1,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hylotelephium purpureum"
"Eriochloa villosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eriochloa villosa"
"Trifolium incarnatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,4,4,"Trifolium incarnatum"
"Euonymus europaeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,4,6,7,10,10,"Euonymus europaeus"
"Dianthus barbatus",1,1,1,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,2,5,10,19,30,39,36,"Dianthus barbatus"
"Pinus sylvestris",NA,NA,NA,NA,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,4,3,3,3,1,5,7,11,22,30,29,32,31,"Pinus sylvestris"
"Campanula glomerata",NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,2,6,9,12,18,17,"Campanula glomerata"
